"id";"Name";"Description";"img_path"
"84";"Iliac Fossa";"The iliac fossa is the smooth, shallow concavity on the internal surface of the ala forming the lateral wall of the false pelvis or lower abdomen. It is the attachment site of the iliacus muscle.";"Anatomy_img/I/4.png"
"85";"Inferior gluteal line";"This line on the external surface of the iliac ala is intermediate in length between the other two gluteal lines. It courses in an anteroposterior line from anterior inferior iliac spine to the greater sciatic notch. It defines the boundary between the attachment surfaces for the gluteus medius, above the line, and gluteus minimus, below the line.";"Anatomy_img/I/5.png"
"86";"Internal acoustic meatus";"The internal acoustic meatus is the passageway for the facial and vestibulocochlear nerves from the temporal bone to the middle cranial fossa.";"Anatomy_img/I/6.png"
"87";"Iliac tuberosity";"This is the rough surface of bone on the posterior sacropelvic surface of the iliac ala. It is bordered superiorly by the posterior iliac crest, anteriorly by the iliac fossa, and inferiorly by the auricular surface for the sacrum. It provides attachment for iliac ligaments and the multifidus muscle.";"Anatomy_img/I/7.png"
"88";"Ilium";"The body, the thick base of this bone, is a thick mass forming the superior portion of the acetabulum. Its upper margins are the arcuate line internally and the superior rim of the acetabulum externally. The ala radiates from the body as a fan-shaped plate of bone. The medial or sacropelvic surface is concave while the lateral or gluteal surface is slightly convex. The top of this expanded bone forms the arched crest terminating at both ends as the anterior superior and posterior superior spines. At the posterior end of the crest the internal surface becomes exceedingly rough providing attachment for the sacrum.";"Anatomy_img/I/8.png"
"89";"Ischium";"It is an arched or U-shaped element with its concave notched margin contributing to the posterior two-thirds of the obturator foramen. It is divisible into two parts, a more posterior positioned body forming the thickest part of the os coxa and a slender anterior ramus. The superior portion of the body is the greatest contributor of the three bones of the os coxa to the acetabulum. It forms the posterior portion of the lunar articular surface for the femur and forms almost the entire rough acetabular fossa. The ischium ossifies from a primary center that appears during the fourth month in the body of the ischium. Around the seventh year the pubis and ischium join to form an ossified ramus inferior to the obturator foramen. At puberty a secondary center appears in the ischial tuberosity. This secondary center joins with the primary center anywhere between the fifteenth and twenty-fifth year.";"Anatomy_img/I/9.png"
"90";"Intermediate line";"This is the region of the crest between the external and internal labia, in essence forming the ridge of the crest. It serves as the attachment site for the internal oblique muscle.";"Anatomy_img/I/10.png"
"91";"Jugular notch of the sternum";"This is the concave superior border of the manubrium. This is the thickest region of the bone.";"Anatomy_img/J/1.png"
"92";"Jugular process";"The jugular process is a rectangular plate of bone projecting from the posterior half of the occipital condyle. The rough inferior surface of this process provides attachment for the rectus capitis lateralis muscle and the lateral atlanto-occipital ligament.";"Anatomy_img/J/2.png"
"93";"Joints and ligaments of the radius and ulna";"The proximal end of the radius and ulna articulate within the structure of the elbow joint. This articular anatomy is covered with the elbow joint. Along the entire shaft of the radius and ulna, an interosseous membrane unites the two bones. This is a synarthrotic joint that functions both as a binding structure between the adjacent bones and also as a large surface area for muscle attachment. In addition to the interosseous membrane, a syndesmotic ligament, the oblique cord, also helps to bind the radius to the ulna. At the distal end of the antebrachial skeleton, the radius and ulna form a distal radio-ulnar joint. This is a pivot joint that is associated with the anatomy of the wrist capsule. The proximal and distal radio-ulnar joints participate in the movements of pronation and supination.";"Anatomy_img/J/3.png"
"94";"Jugular foramen";"The jugular foramen is the large gap formed between the jugular notch of the occipital bone and the posterior border of the petrous temporal bone. This passageway from the cranial vault transmits the internal jugular vein along with the vagus, glossopharyngeal, and accessory nerves.";"Anatomy_img/J/4.png"
"95";"Jejunum";"The jejunum's diameter is about four centimeters. It is thicker, more vascular, and of a deeper color than the ileum. The circular folds of its mucous membrane are large and thickly set. Its villi are larger than in the ileum. The aggregated lymph nodules are almost absent in the upper part of the jejunum. In the lower part, the lymph nodules are less frequently found than in the ileum and are smaller and tend to assume a circular form. The circular folds are absent in the lower part of the ileum. The jejunum mostly occupies the umbilical and left iliac regions. The jejunum and ileum are attaché to the posterior abdominal wall by mesentery. The mesentery allows the freest motion so that each coil can accommodate itself to changes in form and position.";"Anatomy_img/J/5.png"
"96";"Joints and ligaments of the carpal bones";"These are small joints with, in general, very limited ranges of motion that occur between the neighboring surfaces of adjacent carpal bones and between the distal ends of the carpal bones and the proximal ends of the metacarpal bones. The unique joint in this group is the carpometacarpal joint of the thumb, which unlike all the other joints in this group has a wide range of motion.";"Anatomy_img/J/6.png"
"97";"Jugular notch of the temporal";"This is a notch formed on the inferior margin of the petrous temporal bone's posterior surface. This notch is an impression left by the junction of the internal jugular vein and the sigmoid sinus. It combines with the corresponding notch of the occipital bone to form the jugular foramen.";"Anatomy_img/J/7.png"
"98";"Jejunal arteries";"The jejunal arteries originate in the superior mesenteric artery. They supply the jejunum. They anastomose with the ileal arteries.";"Anatomy_img/J/8.png"
"99";"Joints and ligaments of the digits (hand)";"These are the small, mobile joints that occur between the distal ends of the metacarpal bones and the proximal end of the proximal phalanges (metacarpophalangeal joints) and between adjacent phalanges (interphalangeal joints).";"Anatomy_img/J/9.png"
"100";"Jugular fossa";"This is a variable sized concavity on the rough inferior surface of the petrous temporal bone. It is posterior to the carotid foramen. This surface holds the bulbous portion of the internal jugular vein as it drains from the sigmoid venous sinus.";"Anatomy_img/J/10.png"
